,S1, C1, S2, C2, S3, C3, S4, C4, S5, C5,y
1156,4,8,1,8,1,3,4,3,2,8,0
1157,1,6,4,9,4,6,3,9,2,6,0
1158,3,5,1,2,4,5,2,5,3,2,0
1159,1,4,3,4,4,4,4,1,3,1,0
1160,1,7,4,7,4,3,2,7,2,3,0
1161,1,4,4,7,2,7,3,4,1,7,0
1162,2,2,4,2,3,2,1,6,3,6,0
1163,2,12,3,13,2,13,1,13,1,12,0
1164,3,13,1,12,4,12,3,12,4,13,0
1165,4,12,2,7,4,7,3,12,3,7,0
1166,3,2,1,1,4,2,3,1,1,2,0
1167,3,13,3,11,3,12,3,10,3,9,1
1168,2,7,4,7,3,7,1,4,3,4,0
1169,2,3,4,8,3,8,2,8,3,3,0
1170,1,5,2,8,1,8,4,5,4,8,0
1171,2,8,3,13,4,8,2,13,1,8,0
1172,2,13,3,10,4,13,4,10,2,10,0
1173,2,12,4,11,1,11,3,12,3,11,0
1174,1,3,4,6,2,6,3,3,1,6,0
1175,2,7,1,11,3,11,4,7,3,7,0
1176,4,5,4,7,2,7,3,7,1,5,0
1177,1,3,2,12,4,3,3,12,4,12,0
1178,3,10,2,4,1,4,1,10,2,10,0
1179,2,5,3,5,4,11,2,11,4,5,0
1180,4,11,4,1,2,1,3,1,1,11,0
1181,4,10,4,9,3,10,2,10,1,9,0
1182,4,6,1,6,3,9,1,9,2,6,0
1183,2,4,3,8,2,8,1,4,3,4,0
1184,1,1,1,7,2,1,3,7,4,1,0
1185,2,11,3,11,4,13,1,13,2,13,0
1186,2,8,3,8,1,3,4,3,4,8,0
1187,1,10,1,13,4,13,2,13,3,10,0
1188,4,9,3,6,3,9,4,6,2,6,0
1189,1,6,4,2,1,2,3,6,2,6,0
1190,3,5,4,5,3,7,4,7,1,5,0
1191,2,10,4,10,1,10,4,2,2,2,0
1192,1,10,3,10,2,10,2,2,3,2,0
1193,1,4,2,4,4,4,3,9,1,9,0
1194,3,12,1,12,4,3,2,12,1,3,0
1195,1,4,2,6,2,4,1,6,4,6,0
1196,2,9,1,9,4,4,3,4,3,9,0
1197,1,10,3,3,4,10,2,10,2,3,0
1198,2,12,3,10,1,12,3,12,2,10,0
1199,3,9,4,9,4,7,1,7,2,7,0
1200,3,3,4,3,2,12,1,3,4,12,0
1201,1,9,4,9,2,4,3,9,1,4,0
1202,3,11,2,1,4,11,4,1,1,11,0
1203,2,5,3,5,4,5,2,11,4,11,0
1204,1,11,2,8,4,11,4,8,3,11,0
1205,3,8,1,11,2,11,2,8,3,11,0
1206,1,13,2,3,4,3,3,13,3,3,0
1207,4,4,2,11,2,4,4,11,1,11,0
1208,2,2,2,13,3,2,4,13,4,2,0
1209,4,2,3,3,4,3,2,3,1,2,0
1210,4,13,2,13,3,13,1,12,3,12,0
1211,2,9,1,7,3,7,1,9,2,7,0
1212,3,10,1,10,2,2,3,2,1,2,0
1213,4,1,3,1,2,1,4,10,3,10,0
1214,3,3,4,10,1,3,2,10,1,10,0
1215,3,1,4,13,2,1,1,1,2,13,0
1216,4,3,2,10,3,3,1,3,4,10,0
1217,2,4,1,4,4,9,1,9,3,4,0
1218,1,5,4,2,1,2,3,2,4,5,0
1219,3,1,1,1,1,5,4,5,3,5,0
1220,3,11,1,1,4,11,4,1,1,11,0
1221,1,5,4,5,2,11,1,11,2,5,0
1222,1,13,4,13,2,13,4,4,2,4,0
1223,4,3,2,12,3,3,1,12,2,3,0
1224,4,8,3,8,3,3,2,8,2,3,0
1225,3,12,4,12,4,6,3,6,1,12,0
1226,2,9,4,9,4,1,2,1,3,9,0
1227,2,9,1,9,3,12,1,12,2,12,0
1228,3,12,2,1,4,1,1,12,3,1,0
1229,2,9,4,9,2,5,3,5,3,9,0
1230,1,12,2,13,1,13,2,12,3,12,0
1231,1,2,4,2,3,13,3,2,1,13,0
1232,2,8,4,3,3,8,1,3,2,3,0
1233,4,6,3,8,4,8,1,6,3,6,0
1234,2,9,3,9,3,10,4,10,2,10,0
1235,3,12,4,12,2,13,3,13,4,13,0
1236,1,5,2,2,4,5,3,5,1,2,0
1237,4,11,2,11,1,10,4,10,1,11,0
1238,2,2,4,2,2,5,3,5,1,5,0
1239,2,13,2,4,3,13,1,4,4,13,0
1240,4,4,2,4,4,7,2,7,1,7,0
1241,2,9,3,9,2,6,1,6,1,9,0
1242,2,10,3,10,1,10,4,8,3,8,0
1243,4,5,3,5,4,4,1,4,2,5,0
1244,3,9,2,11,4,9,3,11,2,9,0
1245,1,8,4,3,4,8,1,3,3,3,0
1246,1,4,4,4,3,8,2,8,3,4,0
1247,2,10,3,10,4,12,2,12,3,12,0
1248,2,3,3,2,4,3,3,3,4,2,0
1249,1,12,3,11,3,12,2,12,4,11,0
1250,2,11,2,3,4,3,4,11,3,11,0
1251,3,9,1,12,2,12,2,9,4,9,0
1252,4,13,3,13,3,8,1,13,1,8,0
1253,1,12,4,1,4,12,2,12,2,1,0
1254,4,2,2,7,1,7,4,7,2,2,0
1255,3,6,1,6,2,11,2,6,4,11,0
1256,4,12,3,5,2,5,1,5,3,12,0
1257,4,11,1,3,3,11,1,11,4,3,0
1258,2,6,1,4,2,4,3,6,1,6,0
1259,1,2,2,13,3,2,2,2,1,13,0
1260,1,5,1,11,3,11,3,5,4,5,0
1261,2,1,1,1,2,4,3,4,1,4,0
1262,1,7,2,7,4,10,3,7,2,10,0
1263,4,10,2,6,3,10,1,6,2,10,0
1264,4,13,3,3,1,13,3,13,4,3,0
1265,1,8,3,5,2,5,4,5,4,8,0
1266,1,2,3,4,4,4,4,2,2,2,0
1267,3,12,4,12,2,12,1,9,3,9,0
1268,4,7,2,7,2,6,3,7,3,6,0
1269,2,2,4,2,3,7,4,7,3,2,0
1270,1,9,4,9,1,6,2,9,4,6,0
1271,4,7,3,7,3,2,2,7,4,2,0
1272,4,1,1,13,3,13,1,1,3,1,0
1273,1,12,1,6,2,6,4,12,3,6,0
1274,4,4,3,4,2,5,1,5,3,5,0
1275,4,10,2,10,1,1,4,1,1,10,0
1276,2,4,3,6,1,6,4,6,3,4,0
1277,3,11,3,1,2,1,4,11,1,1,0
1278,4,9,3,6,2,9,3,9,1,6,0
1279,2,9,1,10,4,10,4,9,3,9,0
1280,3,6,3,9,1,6,4,9,4,6,0
1281,4,12,2,13,1,12,4,13,2,12,0
1282,1,10,3,6,2,6,4,10,3,10,0
1283,3,8,4,8,1,8,1,3,3,3,0
1284,2,8,2,5,3,5,3,8,4,8,0
1285,2,13,3,1,1,13,1,1,2,1,0
1286,1,9,4,9,3,10,4,10,1,10,0
1287,4,3,4,2,3,3,1,2,2,3,0
1288,3,2,1,2,3,10,4,10,2,2,0
1289,3,5,3,12,4,12,1,5,2,12,0
1290,1,8,1,11,3,11,2,8,4,11,0
1291,1,3,4,3,1,5,2,3,2,5,0
1292,3,5,1,5,3,12,2,5,4,12,0
1293,3,6,2,6,3,2,1,2,4,2,0
1294,2,10,3,1,1,10,1,1,3,10,0
1295,1,11,4,11,2,11,4,5,1,5,0
1296,3,3,1,7,2,3,1,3,4,7,0
1297,4,9,4,4,3,9,2,4,1,4,0
1298,2,12,3,11,3,12,1,12,2,11,0
1299,4,3,1,4,3,4,1,3,2,3,0
1300,3,12,3,1,2,1,4,12,2,12,0
1301,1,2,4,2,3,2,4,4,2,4,0
1302,1,4,1,11,2,4,4,11,3,4,0
1303,3,12,1,10,3,10,1,12,4,10,0
1304,3,5,3,11,4,11,1,11,2,5,0
1305,3,5,2,9,3,9,1,9,1,5,0
1306,1,7,2,6,4,6,4,7,3,6,0
1307,4,10,3,9,2,9,2,10,1,10,0
1308,4,11,1,4,2,4,3,11,4,4,0
1309,4,2,2,3,1,3,3,3,1,2,0
1310,4,9,3,13,1,13,4,13,3,9,0
1311,1,9,3,9,3,13,1,13,4,13,0
1312,3,10,1,9,4,10,4,9,2,9,0
1313,3,12,3,10,1,10,2,10,4,12,0
1314,1,4,2,4,2,1,1,1,4,4,0
1315,1,3,3,3,2,13,3,13,4,13,0
1316,3,1,2,7,1,1,1,7,2,1,0
1317,1,4,4,4,4,13,3,13,2,13,0
1318,3,4,3,8,2,8,2,4,4,8,0
1319,3,5,1,5,2,3,2,5,3,3,0
1320,4,9,1,13,3,13,2,13,3,9,0
1321,2,10,3,12,2,12,3,10,1,12,0
1322,3,9,4,1,4,9,2,1,1,9,0
1323,2,6,4,13,2,13,3,13,3,6,0
1324,4,11,1,11,1,7,4,7,3,7,0
1325,2,10,4,4,2,4,3,10,1,4,0
1326,1,8,3,8,4,3,1,3,4,8,0
1327,1,8,4,8,1,4,3,4,3,8,0
1328,1,2,4,3,3,2,3,3,2,2,0
1329,4,8,4,13,3,13,3,8,2,13,0
1330,3,12,3,13,2,12,4,13,4,12,0
1331,3,12,1,12,4,5,1,5,4,12,0
1332,1,12,3,8,4,12,2,8,1,8,0
1333,3,6,2,1,2,6,4,1,3,1,0
1334,3,4,3,12,2,4,1,12,1,4,0
1335,3,5,2,5,2,7,4,5,1,7,0
1336,1,10,3,4,3,10,2,10,1,4,0
1337,1,5,4,5,4,9,1,9,2,9,0
1338,3,13,1,13,2,13,2,8,3,8,0
1339,4,4,3,2,2,2,1,4,1,2,0
1340,3,3,1,2,2,2,4,2,2,3,0
1341,3,4,3,6,2,4,4,6,1,6,0
1342,1,13,4,13,2,6,3,13,4,6,0
1343,1,6,3,6,4,6,1,4,2,4,0
1344,4,8,1,8,3,7,3,8,2,7,0
1345,1,11,3,11,2,7,2,11,4,7,0
1346,1,13,4,13,2,5,3,13,3,5,0
1347,1,10,3,7,2,7,4,7,4,10,0
1348,3,1,4,1,1,9,2,9,4,9,0
1349,4,5,2,2,1,5,3,2,2,5,0
1350,3,1,1,3,3,3,4,1,1,1,0
1351,3,2,4,11,1,11,1,2,2,11,0
1352,4,8,2,8,2,10,4,10,3,10,0
1353,3,6,2,7,4,6,4,7,2,6,0
1354,2,4,3,4,4,5,4,4,2,5,0
1355,2,13,2,7,1,13,3,7,3,13,0
1356,1,11,1,3,2,11,4,3,3,3,0
1357,2,10,1,10,3,8,4,8,3,10,0
1358,1,6,4,9,1,9,3,9,2,6,0
1359,4,9,2,9,3,1,4,1,3,9,0
1360,2,11,2,1,4,11,1,11,1,1,0
1361,3,2,1,2,2,2,2,1,1,1,0
1362,3,4,2,12,1,12,2,4,1,4,0
1363,4,12,3,6,4,6,1,12,1,6,0
1364,3,13,4,13,4,9,2,13,2,9,0
1365,2,11,4,8,2,8,1,8,4,11,0
1366,3,6,1,6,4,13,2,13,4,6,0
1367,2,9,1,9,3,6,4,6,3,9,0
1368,3,7,2,7,4,7,3,9,1,9,0
1369,4,8,2,7,2,8,3,7,3,8,0
1370,4,1,4,11,4,10,4,12,4,13,1
1371,1,1,4,1,4,3,1,3,3,1,0
1372,2,10,3,10,1,9,3,9,4,10,0
1373,3,3,3,1,1,3,2,3,1,1,0
1374,3,10,1,5,2,5,3,5,1,10,0
1375,4,12,4,13,2,13,3,13,1,12,0
1376,3,3,3,4,1,3,2,3,1,4,0
1377,1,1,3,11,4,1,3,1,1,11,0
1378,1,4,2,8,3,4,4,8,3,8,0
1379,1,7,1,3,1,6,1,5,1,4,1
1380,2,4,4,4,4,12,1,4,1,12,0
1381,2,1,4,1,4,12,1,12,2,12,0
1382,1,7,4,7,3,7,2,8,3,8,0
1383,2,5,2,1,4,5,4,1,1,1,0
1384,3,8,2,5,3,5,2,8,1,5,0
1385,4,7,1,10,4,10,2,7,2,10,0
1386,4,4,3,2,2,2,1,4,4,2,0
1387,1,13,4,13,1,11,3,11,3,13,0
1388,3,5,1,12,2,12,2,5,4,5,0
1389,2,1,1,1,1,5,4,1,3,5,0
1390,4,8,1,6,1,8,3,6,2,6,0
1391,1,12,2,13,3,12,1,13,4,13,0
1392,2,2,4,4,1,2,2,4,1,4,0
1393,2,9,1,9,2,2,4,2,1,2,0
1394,2,1,1,4,3,4,1,1,4,4,0
1395,1,9,1,2,3,9,2,9,2,2,0
1396,2,12,3,10,1,10,4,12,4,10,0
1397,4,9,4,11,1,11,2,11,3,9,0
1398,2,10,3,11,3,10,4,11,1,11,0
1399,4,9,1,9,4,3,2,3,2,9,0
1400,3,7,2,7,1,11,3,11,1,7,0
1401,1,8,1,7,1,9,1,5,1,6,1
1402,2,5,4,5,4,7,3,7,1,5,0
1403,1,7,2,4,3,4,3,7,1,4,0
1404,1,4,1,10,4,4,2,10,2,4,0
1405,2,4,4,12,1,4,1,12,3,12,0
1406,3,4,4,4,4,13,2,13,1,4,0
1407,4,12,3,12,4,11,2,11,1,11,0
1408,4,11,1,7,3,7,4,7,2,11,0
1409,3,6,4,6,3,5,2,5,4,5,0
1410,1,2,2,8,3,8,2,2,3,2,0
1411,3,2,4,1,1,2,3,1,1,1,0
1412,1,10,4,6,2,10,3,10,3,6,0
1413,2,13,1,4,3,13,4,4,2,4,0
1414,1,13,4,6,4,13,2,13,1,6,0
1415,2,9,1,9,2,6,4,9,1,6,0
1416,1,5,1,8,3,8,2,5,4,8,0
1417,1,12,3,11,1,11,4,12,3,12,0
1418,2,12,4,7,4,12,1,12,1,7,0
1419,3,3,1,6,4,6,1,3,3,6,0
1420,2,2,1,2,4,7,3,7,4,2,0
1421,3,10,1,9,2,10,2,9,1,10,0
1422,3,4,1,4,4,4,1,5,4,5,0
1423,3,7,4,7,4,6,2,7,2,6,0
1424,1,1,1,5,4,1,2,5,4,5,0
1425,4,4,2,4,1,10,3,10,4,10,0
1426,4,9,2,11,3,9,4,11,2,9,0
1427,3,6,2,10,4,6,2,6,1,10,0
1428,4,9,3,7,4,7,2,9,1,9,0
1429,2,5,3,5,4,11,3,11,1,5,0
1430,3,3,4,13,3,13,1,13,1,3,0
1431,4,10,4,12,4,9,4,11,4,13,1
1432,2,8,1,8,4,8,1,10,3,10,0
1433,3,13,4,13,1,13,2,7,1,7,0
1434,3,11,2,13,1,13,4,11,1,11,0
1435,1,9,4,2,2,2,1,2,4,9,0
1436,2,12,4,2,2,2,4,12,3,12,0
1437,4,7,2,2,3,7,1,2,2,7,0
1438,3,12,3,5,1,12,2,12,4,5,0
1439,2,7,2,12,1,7,1,12,4,7,0
1440,1,10,1,11,1,13,1,12,1,1,1
1441,2,11,2,13,2,10,2,12,2,1,1
1442,3,12,3,11,3,13,3,10,3,1,1
1443,4,10,4,11,4,1,4,13,4,12,1
1444,4,1,4,13,4,12,4,11,4,10,1
1445,1,2,1,4,1,5,1,3,1,6,1
1446,1,9,1,12,1,10,1,11,1,13,1
1447,2,1,2,2,2,3,2,4,2,5,1
1448,3,5,3,6,3,9,3,7,3,8,1
1449,4,1,4,4,4,2,4,3,4,5,1
1450,3,7,2,2,1,7,2,7,1,2,0
1451,4,4,2,4,1,4,3,1,1,1,0
1452,3,2,1,2,3,11,1,11,4,11,0
1453,2,5,3,5,1,11,3,11,2,11,0
1454,2,1,1,2,4,2,3,1,3,2,0
1455,3,8,3,2,1,2,2,8,4,8,0
1456,1,4,2,10,1,10,3,4,2,4,0
1457,1,13,4,13,3,9,1,9,2,13,0
1458,3,2,4,2,1,2,1,13,2,13,0
1459,4,8,3,7,2,8,1,7,1,8,0
1460,4,11,2,2,4,2,3,11,1,2,0
1461,3,5,2,6,4,6,1,6,1,5,0
1462,2,9,1,4,1,9,4,4,3,9,0
1463,1,10,3,10,4,10,2,4,4,4,0
1464,2,9,3,11,1,11,1,9,3,9,0
1465,4,1,1,1,3,8,2,1,2,8,0
1466,1,9,4,4,2,9,2,4,1,4,0
1467,4,5,1,5,3,11,2,11,3,5,0
1468,1,6,1,13,2,6,3,6,3,13,0
1469,4,4,3,9,2,4,2,9,1,9,0
1470,3,13,4,8,2,8,1,13,1,8,0
1471,3,10,3,5,4,5,1,10,2,10,0
1472,4,3,2,1,4,1,2,3,3,1,0
1473,2,8,1,10,4,8,2,10,3,8,0
1474,3,8,2,8,4,8,1,13,4,13,0
1475,2,7,4,5,4,7,2,5,1,5,0
1476,4,6,4,11,1,11,2,11,2,6,0
1477,3,13,4,13,4,6,2,13,3,6,0
1478,4,11,3,11,1,3,3,3,4,3,0
1479,1,6,3,6,1,3,4,3,2,3,0
1480,3,8,2,6,3,6,1,8,4,8,0
1481,4,10,2,11,3,11,3,10,1,10,0
1482,1,4,3,3,4,4,1,3,2,4,0
1483,1,10,3,3,3,10,2,10,4,3,0
1484,1,6,2,6,4,12,3,6,1,12,0
1485,3,4,1,4,2,4,2,6,3,6,0
